sps,test,model,score,Cutoff,Sensitivity,Specificity
Dcon,ACCURACY,GLM,0.99,693,99.1,98.51
Dcon,ACCURACY,ANN,0.99,726,99.63,98.75
Dcon,ACCURACY,RF,0.99,678,99.4,99.33
Dcon,ACCURACY,GAM,0.99,612,99.32,98.51
Dcon,BIAS,GLM,0.99,878,98.32,98.73
Dcon,BIAS,ANN,1,953,98.18,98.96
Dcon,BIAS,RF,1,860,99,99.45
Dcon,BIAS,GAM,1,963,98.29,98.96
Dcon,POD,GLM,1,117,99.62,58.77
Dcon,POD,ANN,1,165,99.85,78.83
Dcon,POD,RF,1,3,99.96,19.69
Dcon,POD,GAM,1,5,99.99,19.52
Dcon,CSI,GLM,0.96,584,99.23,98.47
Dcon,CSI,ANN,0.97,726,99.63,98.75
Dcon,CSI,RF,0.98,675,99.4,99.33
Dcon,CSI,GAM,0.97,606,99.33,98.5
Dcon,ETS,GLM,0.95,584,99.23,98.47
Dcon,ETS,ANN,0.96,726,99.63,98.75
Dcon,ETS,RF,0.97,675,99.4,99.33
Dcon,ETS,GAM,0.95,606,99.33,98.5
Dden,KAPPA,GLM,0.85,981,94.22,99.2
Dden,KAPPA,ANN,0.87,977,92.29,99.44
Dden,KAPPA,RF,0.93,862,92.05,99.83
Dden,KAPPA,GAM,0.88,975,92.53,99.51
Dden,TSS,GLM,0.97,663,98.55,98.33
Dden,TSS,ANN,0.97,668,98.8,98.56
Dden,TSS,RF,0.94,159,95.9,98.52
Dden,TSS,GAM,0.96,220,98.8,59.34
Dden,ROC,GLM,0.99,NA,NA,NA
Dden,ROC,ANN,1,NA,NA,NA
Dden,ROC,RF,0.99,NA,NA,NA
Dden,ROC,GAM,0.99,NA,NA,NA
Dden,FAR,GLM,0.79,981,94.22,99.2
Dden,FAR,ANN,0.85,984,90.36,99.48
Dden,FAR,RF,0.95,970,90.6,99.86
Dden,FAR,GAM,0.86,982,91.81,99.53
Dden,SR,GLM,0.79,981,94.22,99.2
Dden,SR,ANN,0.85,984,90.36,99.48
Dden,SR,RF,0.95,970,90.6,99.86
Dden,SR,GAM,0.86,982,91.81,99.53
Dden,ACCURACY,GLM,0.99,981,94.22,99.2
Dden,ACCURACY,ANN,0.99,977,92.29,99.44
Dden,ACCURACY,RF,1,889,91.81,99.84
Dden,ACCURACY,GAM,0.99,979,92.05,99.52
Dden,BIAS,GLM,0.8,981,94.22,99.2
Dden,BIAS,ANN,0.91,982,90.36,99.47
Dden,BIAS,RF,1,741,91.33,99.74
Dden,BIAS,GAM,0.92,977,91.81,99.52
Dden,POD,GLM,0.99,114,99.76,58.41
Dden,POD,ANN,1,104,100,57.97
Dden,POD,RF,0.98,19,99.28,19.39
Dden,POD,GAM,0.98,86,99.76,39.48
Dden,CSI,GLM,0.75,981,94.22,99.2
Dden,CSI,ANN,0.78,977,92.29,99.44
Dden,CSI,RF,0.87,862,92.05,99.83
Dden,CSI,GAM,0.8,975,92.53,99.51
Dden,ETS,GLM,0.74,981,94.22,99.2
Dden,ETS,ANN,0.78,977,92.29,99.44
Dden,ETS,RF,0.87,862,92.05,99.83
Dden,ETS,GAM,0.79,975,92.53,99.51
Gpol,KAPPA,GLM,0.68,520,84.61,86.2
Gpol,KAPPA,ANN,0.79,574,90.01,91.18
Gpol,KAPPA,RF,0.94,482,96.5,97.86
Gpol,KAPPA,GAM,0.77,506,90.34,89.99
Gpol,TSS,GLM,0.71,477,85.68,85.51
Gpol,TSS,ANN,0.82,479,91.64,89.97
Gpol,TSS,RF,0.95,358,97.2,97.34
Gpol,TSS,GAM,0.81,435,92.12,88.71
Gpol,ROC,GLM,0.89,NA,NA,NA
Gpol,ROC,ANN,0.96,NA,NA,NA
Gpol,ROC,RF,0.99,NA,NA,NA
Gpol,ROC,GAM,0.96,NA,NA,NA
Gpol,FAR,GLM,0.8,753,57.88,91.7
Gpol,FAR,ANN,0.95,951,43,99.06
Gpol,FAR,RF,0.99,990,86.76,99.47
Gpol,FAR,GAM,0.93,958,35.34,98.89
Gpol,SR,GLM,0.8,753,57.88,91.7
